sample_id	round	cage	mouse	day	treatment	diet	mouse_id	new_samp_id	analysis_type	true_false	paper_id
17-(-2)-S-F-AQ	3	X	17	-2	salmonella	chow	3_X_17	3_X_17_-2	metag_mapping	0	NA
17-(-2)-S-F-AQ	3	X	17	-2	salmonella	chow	3_X_17	3_X_17_-2	metag_db	0	NA
17-(-2)-S-F-AQ	3	X	17	-2	salmonella	chow	3_X_17	3_X_17_-2	metat	0	NA
17-(-2)-S-F-AQ	3	X	17	-2	salmonella	chow	3_X_17	3_X_17_-2	metab	0	NA
17-(10)-S-F-GK	3	X	17	10	salmonella	chow	3_X_17	3_X_17_10	16s	1	NA
17-(10)-S-F-GK	3	X	17	10	salmonella	chow	3_X_17	3_X_17_10	metag_mapping	0	NA
17-(10)-S-F-GK	3	X	17	10	salmonella	chow	3_X_17	3_X_17_10	metag_db	0	NA
17-(10)-S-F-GK	3	X	17	10	salmonella	chow	3_X_17	3_X_17_10	metat	0	NA
17-(10)-S-F-GK	3	X	17	10	salmonella	chow	3_X_17	3_X_17_10	metab	0	NA
18-(-2)-S-F-AR	3	X	18	-2	salmonella	chow	3_X_18	3_X_18_-2	16s	1	NA
18-(-2)-S-F-AR	3	X	18	-2	salmonella	chow	3_X_18	3_X_18_-2	metag_mapping	0	NA
18-(-2)-S-F-AR	3	X	18	-2	salmonella	chow	3_X_18	3_X_18_-2	metag_db	0	NA
18-(-2)-S-F-AR	3	X	18	-2	salmonella	chow	3_X_18	3_X_18_-2	metat	0	NA
18-(-2)-S-F-AR	3	X	18	-2	salmonella	chow	3_X_18	3_X_18_-2	metab	0	NA
18-(10)-S-F-GL	3	X	18	10	salmonella	chow	3_X_18	3_X_18_10	16s	1	NA
18-(10)-S-F-GL	3	X	18	10	salmonella	chow	3_X_18	3_X_18_10	metag_mapping	0	NA
18-(10)-S-F-GL	3	X	18	10	salmonella	chow	3_X_18	3_X_18_10	metag_db	0	NA
18-(10)-S-F-GL	3	X	18	10	salmonella	chow	3_X_18	3_X_18_10	metat	0	NA
18-(10)-S-F-GL	3	X	18	10	salmonella	chow	3_X_18	3_X_18_10	metab	0	NA
20-(-2)-S-F-AT	3	X	20	-2	salmonella	chow	3_X_20	3_X_20_-2	16s	1	I4
20-(-2)-S-F-AT	3	X	20	-2	salmonella	chow	3_X_20	3_X_20_-2	metag_mapping	0	I4
20-(-2)-S-F-AT	3	X	20	-2	salmonella	chow	3_X_20	3_X_20_-2	metag_db	0	I4
20-(-2)-S-F-AT	3	X	20	-2	salmonella	chow	3_X_20	3_X_20_-2	metat	0	I4
20-(-2)-S-F-AT	3	X	20	-2	salmonella	chow	3_X_20	3_X_20_-2	metab	0	I4
20-(-1)-S-F-CR	3	X	20	-1	salmonella	chow	3_X_20	3_X_20_-1	16s	1	I4
20-(-1)-S-F-CR	3	X	20	-1	salmonella	chow	3_X_20	3_X_20_-1	metag_mapping	0	I4
20-(-1)-S-F-CR	3	X	20	-1	salmonella	chow	3_X_20	3_X_20_-1	metag_db	0	I4
20-(-1)-S-F-CR	3	X	20	-1	salmonella	chow	3_X_20	3_X_20_-1	metat	0	I4
20-(-1)-S-F-CR	3	X	20	-1	salmonella	chow	3_X_20	3_X_20_-1	metab	0	I4
20-(0)-S-F-EP	3	X	20	0	salmonella	chow	3_X_20	3_X_20_0	16s	1	I4
20-(0)-S-F-EP	3	X	20	0	salmonella	chow	3_X_20	3_X_20_0	metag_mapping	0	I4
20-(0)-S-F-EP	3	X	20	0	salmonella	chow	3_X_20	3_X_20_0	metag_db	0	I4
20-(0)-S-F-EP	3	X	20	0	salmonella	chow	3_X_20	3_X_20_0	metat	0	I4
20-(0)-S-F-EP	3	X	20	0	salmonella	chow	3_X_20	3_X_20_0	metab	0	I4
20-(10)-S-F-GN	3	X	20	10	salmonella	chow	3_X_20	3_X_20_10	16s	1	I4
20-(10)-S-F-GN	3	X	20	10	salmonella	chow	3_X_20	3_X_20_10	metag_mapping	0	I4
20-(10)-S-F-GN	3	X	20	10	salmonella	chow	3_X_20	3_X_20_10	metag_db	0	I4
20-(10)-S-F-GN	3	X	20	10	salmonella	chow	3_X_20	3_X_20_10	metat	0	I4
20-(10)-S-F-GN	3	X	20	10	salmonella	chow	3_X_20	3_X_20_10	metab	0	I4
20-(11)-S-F-KL	3	X	20	11	salmonella	chow	3_X_20	3_X_20_11	16s	1	I4
20-(11)-S-F-KL	3	X	20	11	salmonella	chow	3_X_20	3_X_20_11	metag_mapping	1	I4
20-(11)-S-F-KL	3	X	20	11	salmonella	chow	3_X_20	3_X_20_11	metag_db	1	I4
20-(11)-S-F-KL	3	X	20	11	salmonella	chow	3_X_20	3_X_20_11	metat	0	I4
20-(11)-S-F-KL	3	X	20	11	salmonella	chow	3_X_20	3_X_20_11	metab	0	I4
20-(12)-S-F-MJ	3	X	20	12	salmonella	chow	3_X_20	3_X_20_12	16s	1	I4
20-(12)-S-F-MJ	3	X	20	12	salmonella	chow	3_X_20	3_X_20_12	metag_mapping	0	I4
20-(12)-S-F-MJ	3	X	20	12	salmonella	chow	3_X_20	3_X_20_12	metag_db	0	I4
20-(12)-S-F-MJ	3	X	20	12	salmonella	chow	3_X_20	3_X_20_12	metat	0	I4
20-(12)-S-F-MJ	3	X	20	12	salmonella	chow	3_X_20	3_X_20_12	metab	1	I4
21-(-2)-S-F-AU	3	X	21	-2	salmonella	chow	3_X_21	3_X_21_-2	16s	1	NA
21-(-2)-S-F-AU	3	X	21	-2	salmonella	chow	3_X_21	3_X_21_-2	metag_mapping	0	NA
21-(-2)-S-F-AU	3	X	21	-2	salmonella	chow	3_X_21	3_X_21_-2	metag_db	0	NA
21-(-2)-S-F-AU	3	X	21	-2	salmonella	chow	3_X_21	3_X_21_-2	metat	0	NA
21-(-2)-S-F-AU	3	X	21	-2	salmonella	chow	3_X_21	3_X_21_-2	metab	0	NA
21-(10)-S-F-GO	3	X	21	10	salmonella	chow	3_X_21	3_X_21_10	16s	1	NA
21-(10)-S-F-GO	3	X	21	10	salmonella	chow	3_X_21	3_X_21_10	metag_mapping	0	NA
21-(10)-S-F-GO	3	X	21	10	salmonella	chow	3_X_21	3_X_21_10	metag_db	0	NA
21-(10)-S-F-GO	3	X	21	10	salmonella	chow	3_X_21	3_X_21_10	metat	0	NA
21-(10)-S-F-GO	3	X	21	10	salmonella	chow	3_X_21	3_X_21_10	metab	0	NA
22-(-2)-S-F-AV	3	X	22	-2	salmonella	chow	3_X_22	3_X_22_-2	16s	1	NA
22-(-2)-S-F-AV	3	X	22	-2	salmonella	chow	3_X_22	3_X_22_-2	metag_mapping	0	NA
22-(-2)-S-F-AV	3	X	22	-2	salmonella	chow	3_X_22	3_X_22_-2	metag_db	0	NA
22-(-2)-S-F-AV	3	X	22	-2	salmonella	chow	3_X_22	3_X_22_-2	metat	0	NA
22-(-2)-S-F-AV	3	X	22	-2	salmonella	chow	3_X_22	3_X_22_-2	metab	0	NA
22-(10)-S-F-GP	3	X	22	10	salmonella	chow	3_X_22	3_X_22_10	16s	1	NA
22-(10)-S-F-GP	3	X	22	10	salmonella	chow	3_X_22	3_X_22_10	metag_mapping	0	NA
22-(10)-S-F-GP	3	X	22	10	salmonella	chow	3_X_22	3_X_22_10	metag_db	0	NA
22-(10)-S-F-GP	3	X	22	10	salmonella	chow	3_X_22	3_X_22_10	metat	0	NA
22-(10)-S-F-GP	3	X	22	10	salmonella	chow	3_X_22	3_X_22_10	metab	0	NA
27-(-2)-S-F-BA	3	X	27	-2	salmonella	chow	3_X_27	3_X_27_-2	16s	1	I5
27-(-2)-S-F-BA	3	X	27	-2	salmonella	chow	3_X_27	3_X_27_-2	metag_mapping	0	I5
27-(-2)-S-F-BA	3	X	27	-2	salmonella	chow	3_X_27	3_X_27_-2	metag_db	0	I5
27-(-2)-S-F-BA	3	X	27	-2	salmonella	chow	3_X_27	3_X_27_-2	metat	0	I5
27-(-2)-S-F-BA	3	X	27	-2	salmonella	chow	3_X_27	3_X_27_-2	metab	0	I5
27-(-1)-S-F-CY	3	X	27	-1	salmonella	chow	3_X_27	3_X_27_-1	16s	1	I5
27-(-1)-S-F-CY	3	X	27	-1	salmonella	chow	3_X_27	3_X_27_-1	metag_mapping	0	I5
27-(-1)-S-F-CY	3	X	27	-1	salmonella	chow	3_X_27	3_X_27_-1	metag_db	0	I5
27-(-1)-S-F-CY	3	X	27	-1	salmonella	chow	3_X_27	3_X_27_-1	metat	0	I5
27-(-1)-S-F-CY	3	X	27	-1	salmonella	chow	3_X_27	3_X_27_-1	metab	0	I5
27-(0)-S-F-EW	3	X	27	0	salmonella	chow	3_X_27	3_X_27_0	16s	1	I5
27-(0)-S-F-EW	3	X	27	0	salmonella	chow	3_X_27	3_X_27_0	metag_mapping	0	I5
27-(0)-S-F-EW	3	X	27	0	salmonella	chow	3_X_27	3_X_27_0	metag_db	0	I5
27-(0)-S-F-EW	3	X	27	0	salmonella	chow	3_X_27	3_X_27_0	metat	0	I5
27-(0)-S-F-EW	3	X	27	0	salmonella	chow	3_X_27	3_X_27_0	metab	0	I5
27-(10)-S-F-GU	3	X	27	10	salmonella	chow	3_X_27	3_X_27_10	16s	1	I5
27-(10)-S-F-GU	3	X	27	10	salmonella	chow	3_X_27	3_X_27_10	metag_mapping	0	I5
27-(10)-S-F-GU	3	X	27	10	salmonella	chow	3_X_27	3_X_27_10	metag_db	0	I5
27-(10)-S-F-GU	3	X	27	10	salmonella	chow	3_X_27	3_X_27_10	metat	0	I5
27-(10)-S-F-GU	3	X	27	10	salmonella	chow	3_X_27	3_X_27_10	metab	0	I5
27-(11)-S-F-KS	3	X	27	11	salmonella	chow	3_X_27	3_X_27_11	16s	1	I5
27-(11)-S-F-KS	3	X	27	11	salmonella	chow	3_X_27	3_X_27_11	metag_mapping	1	I5
27-(11)-S-F-KS	3	X	27	11	salmonella	chow	3_X_27	3_X_27_11	metag_db	1	I5
27-(11)-S-F-KS	3	X	27	11	salmonella	chow	3_X_27	3_X_27_11	metat	0	I5
27-(11)-S-F-KS	3	X	27	11	salmonella	chow	3_X_27	3_X_27_11	metab	0	I5
27-(12)-S-F-MQ	3	X	27	12	salmonella	chow	3_X_27	3_X_27_12	16s	1	I5
27-(12)-S-F-MQ	3	X	27	12	salmonella	chow	3_X_27	3_X_27_12	metag_mapping	0	I5
27-(12)-S-F-MQ	3	X	27	12	salmonella	chow	3_X_27	3_X_27_12	metag_db	0	I5
27-(12)-S-F-MQ	3	X	27	12	salmonella	chow	3_X_27	3_X_27_12	metat	0	I5
27-(12)-S-F-MQ	3	X	27	12	salmonella	chow	3_X_27	3_X_27_12	metab	1	I5
28-(-2)-S-F-BB	3	X	28	-2	salmonella	chow	3_X_28	3_X_28_-2	16s	1	I6
28-(-2)-S-F-BB	3	X	28	-2	salmonella	chow	3_X_28	3_X_28_-2	metag_mapping	0	I6
28-(-2)-S-F-BB	3	X	28	-2	salmonella	chow	3_X_28	3_X_28_-2	metag_db	0	I6
28-(-2)-S-F-BB	3	X	28	-2	salmonella	chow	3_X_28	3_X_28_-2	metat	0	I6
28-(-2)-S-F-BB	3	X	28	-2	salmonella	chow	3_X_28	3_X_28_-2	metab	0	I6
28-(-1)-S-F-CZ	3	X	28	-1	salmonella	chow	3_X_28	3_X_28_-1	16s	1	I6
28-(-1)-S-F-CZ	3	X	28	-1	salmonella	chow	3_X_28	3_X_28_-1	metag_mapping	0	I6
28-(-1)-S-F-CZ	3	X	28	-1	salmonella	chow	3_X_28	3_X_28_-1	metag_db	0	I6
28-(-1)-S-F-CZ	3	X	28	-1	salmonella	chow	3_X_28	3_X_28_-1	metat	0	I6
28-(-1)-S-F-CZ	3	X	28	-1	salmonella	chow	3_X_28	3_X_28_-1	metab	0	I6
28-(0)-S-F-EX	3	X	28	0	salmonella	chow	3_X_28	3_X_28_0	16s	1	I6
28-(0)-S-F-EX	3	X	28	0	salmonella	chow	3_X_28	3_X_28_0	metag_mapping	0	I6
28-(0)-S-F-EX	3	X	28	0	salmonella	chow	3_X_28	3_X_28_0	metag_db	0	I6
28-(0)-S-F-EX	3	X	28	0	salmonella	chow	3_X_28	3_X_28_0	metat	0	I6
28-(0)-S-F-EX	3	X	28	0	salmonella	chow	3_X_28	3_X_28_0	metab	0	I6
28-(10)-S-F-GV	3	X	28	10	salmonella	chow	3_X_28	3_X_28_10	16s	1	I6
28-(10)-S-F-GV	3	X	28	10	salmonella	chow	3_X_28	3_X_28_10	metag_mapping	0	I6
28-(10)-S-F-GV	3	X	28	10	salmonella	chow	3_X_28	3_X_28_10	metag_db	0	I6
28-(10)-S-F-GV	3	X	28	10	salmonella	chow	3_X_28	3_X_28_10	metat	0	I6
28-(10)-S-F-GV	3	X	28	10	salmonella	chow	3_X_28	3_X_28_10	metab	0	I6
28-(11)-S-F-KT	3	X	28	11	salmonella	chow	3_X_28	3_X_28_11	16s	1	I6
28-(11)-S-F-KT	3	X	28	11	salmonella	chow	3_X_28	3_X_28_11	metag_mapping	0	I6
28-(11)-S-F-KT	3	X	28	11	salmonella	chow	3_X_28	3_X_28_11	metag_db	0	I6
28-(11)-S-F-KT	3	X	28	11	salmonella	chow	3_X_28	3_X_28_11	metat	1	I6
28-(11)-S-F-KT	3	X	28	11	salmonella	chow	3_X_28	3_X_28_11	metab	0	I6
28-(12)-S-F-MR	3	X	28	12	salmonella	chow	3_X_28	3_X_28_12	16s	1	I6
28-(12)-S-F-MR	3	X	28	12	salmonella	chow	3_X_28	3_X_28_12	metag_mapping	0	I6
28-(12)-S-F-MR	3	X	28	12	salmonella	chow	3_X_28	3_X_28_12	metag_db	0	I6
28-(12)-S-F-MR	3	X	28	12	salmonella	chow	3_X_28	3_X_28_12	metat	0	I6
28-(12)-S-F-MR	3	X	28	12	salmonella	chow	3_X_28	3_X_28_12	metab	1	I6
JU	1	X	44	-2	salmonella	chow	1_X_44	1_X_44_-2	16s	1	NA
JU	1	X	44	-2	salmonella	chow	1_X_44	1_X_44_-2	metag_mapping	0	NA
JU	1	X	44	-2	salmonella	chow	1_X_44	1_X_44_-2	metag_db	0	NA
JU	1	X	44	-2	salmonella	chow	1_X_44	1_X_44_-2	metat	0	NA
JU	1	X	44	-2	salmonella	chow	1_X_44	1_X_44_-2	metab	0	NA
MC	1	X	44	-1	salmonella	chow	1_X_44	1_X_44_-1	16s	1	NA
MC	1	X	44	-1	salmonella	chow	1_X_44	1_X_44_-1	metag_mapping	0	NA
MC	1	X	44	-1	salmonella	chow	1_X_44	1_X_44_-1	metag_db	0	NA
MC	1	X	44	-1	salmonella	chow	1_X_44	1_X_44_-1	metat	0	NA
MC	1	X	44	-1	salmonella	chow	1_X_44	1_X_44_-1	metab	0	NA
LNM	1	X	44	10	salmonella	chow	1_X_44	1_X_44_10	16s	1	NA
LNM	1	X	44	10	salmonella	chow	1_X_44	1_X_44_10	metag_mapping	0	NA
