sample	Round	Cage	Mouse	Day	treatment	diet	mouse_id	id	paper_id
44-(12)-C-F-NH	3	X	44	12	control	chow	3_X_44	3_X_44_12	U2
45-(-2)-C-F-BS	3	X	45	-2	control	chow	3_X_45	3_X_45_-2	U3
45-(-1)-C-F-DQ	3	X	45	-1	control	chow	3_X_45	3_X_45_-1	U3
45-(0)-C-F-FO	3	X	45	0	control	chow	3_X_45	3_X_45_0	U3
45-(10)-C-F-HM	3	X	45	10	control	chow	3_X_45	3_X_45_10	U3
45-(11)-C-F-LK	3	X	45	11	control	chow	3_X_45	3_X_45_11	U3
45-(12)-C-F-NI	3	X	45	12	control	chow	3_X_45	3_X_45_12	U3
46-(-2)-C-F-BT	3	X	46	-2	control	chow	3_X_46	3_X_46_-2	U4
46-(-1)-C-F-DR	3	X	46	-1	control	chow	3_X_46	3_X_46_-1	U4
46-(0)-C-F-FP	3	X	46	0	control	chow	3_X_46	3_X_46_0	U4
46-(10)-C-F-HN	3	X	46	10	control	chow	3_X_46	3_X_46_10	U4
46-(11)-C-F-LL	3	X	46	11	control	chow	3_X_46	3_X_46_11	U4
46-(12)-C-F-NJ	3	X	46	12	control	chow	3_X_46	3_X_46_12	U4
47-(-2)-C-F-BU	3	X	47	-2	control	chow	3_X_47	3_X_47_-2	U5
47-(-1)-C-F-DS	3	X	47	-1	control	chow	3_X_47	3_X_47_-1	U5
47-(0)-C-F-FQ	3	X	47	0	control	chow	3_X_47	3_X_47_0	U5
47-(10)-C-F-HO	3	X	47	10	control	chow	3_X_47	3_X_47_10	U5
47-(11)-C-F-LM	3	X	47	11	control	chow	3_X_47	3_X_47_11	U5
47-(12)-C-F-NK	3	X	47	12	control	chow	3_X_47	3_X_47_12	U5
48-(-2)-C-F-BV	3	X	48	-2	control	chow	3_X_48	3_X_48_-2	U1
48-(-1)-C-F-DT	3	X	48	-1	control	chow	3_X_48	3_X_48_-1	U1
48-(0)-C-F-FR	3	X	48	0	control	chow	3_X_48	3_X_48_0	U1
48-(10)-C-F-HP	3	X	48	10	control	chow	3_X_48	3_X_48_10	U1
48-(11)-C-F-LN	3	X	48	11	control	chow	3_X_48	3_X_48_11	U1
48-(12)-C-F-NL	3	X	48	12	control	chow	3_X_48	3_X_48_12	U1
49-(-2)-C-F-BW	3	X	49	-2	control	chow	3_X_49	3_X_49_-2	U6
49-(-1)-C-F-DU	3	X	49	-1	control	chow	3_X_49	3_X_49_-1	U6
49-(0)-C-F-FS	3	X	49	0	control	chow	3_X_49	3_X_49_0	U6
49-(10)-C-F-HQ	3	X	49	10	control	chow	3_X_49	3_X_49_10	U6
49-(11)-C-F-LO	3	X	49	11	control	chow	3_X_49	3_X_49_11	U6
49-(12)-C-F-NM	3	X	49	12	control	chow	3_X_49	3_X_49_12	U6
50-(-2)-C-F-BX	3	X	50	-2	control	chow	3_X_50	3_X_50_-2	U7
50-(-1)-C-F-DV	3	X	50	-1	control	chow	3_X_50	3_X_50_-1	U7
50-(0)-C-F-FT	3	X	50	0	control	chow	3_X_50	3_X_50_0	U7
50-(10)-C-F-HR	3	X	50	10	control	chow	3_X_50	3_X_50_10	U7
50-(11)-C-F-LP	3	X	50	11	control	chow	3_X_50	3_X_50_11	U7
50-(12)-C-F-NN	3	X	50	12	control	chow	3_X_50	3_X_50_12	U7
FU	1	X	1	-3	control	chow	1_X_1	1_X_1_-3	NA
ID_new	1	X	1	-2	control	chow	1_X_1	1_X_1_-2	NA
KL	1	X	1	-1	control	chow	1_X_1	1_X_1_-1	NA
PB	1	X	1	1	control	chow	1_X_1	1_X_1_1	NA
RJ	1	X	1	2	control	chow	1_X_1	1_X_1_2	NA
TR	1	X	1	3	control	chow	1_X_1	1_X_1_3	NA
VZ	1	X	1	4	control	chow	1_X_1	1_X_1_4	NA
YH	1	X	1	5	control	chow	1_X_1	1_X_1_5	NA
APP	1	X	1	6	control	chow	1_X_1	1_X_1_6	NA
CXX	1	X	1	7	control	chow	1_X_1	1_X_1_7	NA
FFF	1	X	1	8	control	chow	1_X_1	1_X_1_8	NA
HON	1	X	1	9	control	chow	1_X_1	1_X_1_9	NA
JWV	1	X	1	10	control	chow	1_X_1	1_X_1_10	NA
MED	1	X	1	11	control	chow	1_X_1	1_X_1_11	NA
OML	1	X	1	12	control	chow	1_X_1	1_X_1_12	NA
QUT	1	X	1	13	control	chow	1_X_1	1_X_1_13	NA
TCB	1	X	1	14	control	chow	1_X_1	1_X_1_14	NA
VKJ	1	X	1	15	control	chow	1_X_1	1_X_1_15	NA
FV	1	X	2	-3	control	chow	1_X_2	1_X_2_-3	NA
IE	1	X	2	-2	control	chow	1_X_2	1_X_2_-2	NA
KM	1	X	2	-1	control	chow	1_X_2	1_X_2_-1	NA
PC	1	X	2	1	control	chow	1_X_2	1_X_2_1	NA
RK	1	X	2	2	control	chow	1_X_2	1_X_2_2	NA
TS	1	X	2	3	control	chow	1_X_2	1_X_2_3	NA
WA	1	X	2	4	control	chow	1_X_2	1_X_2_4	NA
YI	1	X	2	5	control	chow	1_X_2	1_X_2_5	NA
AQQ	1	X	2	6	control	chow	1_X_2	1_X_2_6	NA
CYY	1	X	2	7	control	chow	1_X_2	1_X_2_7	NA
FGG	1	X	2	8	control	chow	1_X_2	1_X_2_8	NA
HPO	1	X	2	9	control	chow	1_X_2	1_X_2_9	NA
JXW	1	X	2	10	control	chow	1_X_2	1_X_2_10	NA
MFE	1	X	2	11	control	chow	1_X_2	1_X_2_11	NA
ONM	1	X	2	12	control	chow	1_X_2	1_X_2_12	NA
QVU	1	X	2	13	control	chow	1_X_2	1_X_2_13	NA
TDC	1	X	2	14	control	chow	1_X_2	1_X_2_14	NA
VLK	1	X	2	15	control	chow	1_X_2	1_X_2_15	NA
FX	1	X	4	-3	control	chow	1_X_4	1_X_4_-3	NA
IG	1	X	4	-2	control	chow	1_X_4	1_X_4_-2	NA
KO	1	X	4	-1	control	chow	1_X_4	1_X_4_-1	NA
PE	1	X	4	1	control	chow	1_X_4	1_X_4_1	NA
RM	1	X	4	2	control	chow	1_X_4	1_X_4_2	NA
TU	1	X	4	3	control	chow	1_X_4	1_X_4_3	NA
WC	1	X	4	4	control	chow	1_X_4	1_X_4_4	NA
YK	1	X	4	5	control	chow	1_X_4	1_X_4_5	NA
ASS	1	X	4	6	control	chow	1_X_4	1_X_4_6	NA
DAA	1	X	4	7	control	chow	1_X_4	1_X_4_7	NA
FII	1	X	4	8	control	chow	1_X_4	1_X_4_8	NA
HRQ	1	X	4	9	control	chow	1_X_4	1_X_4_9	NA
JZY	1	X	4	10	control	chow	1_X_4	1_X_4_10	NA
MHG	1	X	4	11	control	chow	1_X_4	1_X_4_11	NA
OPO	1	X	4	12	control	chow	1_X_4	1_X_4_12	NA
QXW	1	X	4	13	control	chow	1_X_4	1_X_4_13	NA
TFE	1	X	4	14	control	chow	1_X_4	1_X_4_14	NA
VNM	1	X	4	15	control	chow	1_X_4	1_X_4_15	NA
II	1	X	6	-2	control	chow	1_X_6	1_X_6_-2	NA
GA	1	X	7	-3	control	chow	1_X_7	1_X_7_-3	NA
IJ	1	X	7	-2	control	chow	1_X_7	1_X_7_-2	NA
KR	1	X	7	-1	control	chow	1_X_7	1_X_7_-1	NA
PH	1	X	7	1	control	chow	1_X_7	1_X_7_1	NA
RP	1	X	7	2	control	chow	1_X_7	1_X_7_2	NA
TX	1	X	7	3	control	chow	1_X_7	1_X_7_3	NA
WF	1	X	7	4	control	chow	1_X_7	1_X_7_4	NA
YN	1	X	7	5	control	chow	1_X_7	1_X_7_5	NA
AVV	1	X	7	6	control	chow	1_X_7	1_X_7_6	NA
DDD	1	X	7	7	control	chow	1_X_7	1_X_7_7	NA
FLL	1	X	7	8	control	chow	1_X_7	1_X_7_8	NA
HUT	1	X	7	9	control	chow	1_X_7	1_X_7_9	NA
KCB	1	X	7	10	control	chow	1_X_7	1_X_7_10	NA
MKJ	1	X	7	11	control	chow	1_X_7	1_X_7_11	NA
OSR	1	X	7	12	control	chow	1_X_7	1_X_7_12	NA
RAZ	1	X	7	13	control	chow	1_X_7	1_X_7_13	NA
TIH	1	X	7	14	control	chow	1_X_7	1_X_7_14	NA
VQP	1	X	7	15	control	chow	1_X_7	1_X_7_15	NA
GD	1	X	10	-3	control	chow	1_X_10	1_X_10_-3	NA
IM	1	X	10	-2	control	chow	1_X_10	1_X_10_-2	NA
KU	1	X	10	-1	control	chow	1_X_10	1_X_10_-1	NA
PK	1	X	10	1	control	chow	1_X_10	1_X_10_1	NA
RS	1	X	10	2	control	chow	1_X_10	1_X_10_2	NA
UA	1	X	10	3	control	chow	1_X_10	1_X_10_3	NA
WI	1	X	10	4	control	chow	1_X_10	1_X_10_4	NA
YQ	1	X	10	5	control	chow	1_X_10	1_X_10_5	NA
AYY	1	X	10	6	control	chow	1_X_10	1_X_10_6	NA
DGG	1	X	10	7	control	chow	1_X_10	1_X_10_7	NA
FOO	1	X	10	8	control	chow	1_X_10	1_X_10_8	NA
HXW	1	X	10	9	control	chow	1_X_10	1_X_10_9	NA
KFE	1	X	10	10	control	chow	1_X_10	1_X_10_10	NA
MNM	1	X	10	11	control	chow	1_X_10	1_X_10_11	NA
OVU	1	X	10	12	control	chow	1_X_10	1_X_10_12	NA
RDC	1	X	10	13	control	chow	1_X_10	1_X_10_13	NA
TLK	1	X	10	14	control	chow	1_X_10	1_X_10_14	NA
VTS	1	X	10	15	control	chow	1_X_10	1_X_10_15	NA
HM	1	X	44	-3	salmonella	chow	1_X_44	1_X_44_-3	NA
JU	1	X	44	-2	salmonella	chow	1_X_44	1_X_44_-2	NA
MC	1	X	44	-1	salmonella	chow	1_X_44	1_X_44_-1	NA
QS	1	X	44	1	salmonella	chow	1_X_44	1_X_44_1	NA
TA	1	X	44	2	salmonella	chow	1_X_44	1_X_44_2	NA
VI	1	X	44	3	salmonella	chow	1_X_44	1_X_44_3	NA
XQ	1	X	44	4	salmonella	chow	1_X_44	1_X_44_4	NA
ZY	1	X	44	5	salmonella	chow	1_X_44	1_X_44_5	NA
CGG	1	X	44	6	salmonella	chow	1_X_44	1_X_44_6	NA
EOO	1	X	44	7	salmonella	chow	1_X_44	1_X_44_7	NA
GWW	1	X	44	8	salmonella	chow	1_X_44	1_X_44_8	NA
JFE	1	X	44	9	salmonella	chow	1_X_44	1_X_44_9	NA
LNM	1	X	44	10	salmonella	chow	1_X_44	1_X_44_10	NA
NVU	1	X	44	11	salmonella	chow	1_X_44	1_X_44_11	NA
QDC	1	X	44	12	salmonella	chow	1_X_44	1_X_44_12	NA
SLK	1	X	44	13	salmonella	chow	1_X_44	1_X_44_13	NA
UTS	1	X	44	14	salmonella	chow	1_X_44	1_X_44_14	NA
XBA	1	X	44	15	salmonella	chow	1_X_44	1_X_44_15	NA
HO	1	X	46	-3	salmonella	chow	1_X_46	1_X_46_-3	NA
JW	1	X	46	-2	salmonella	chow	1_X_46	1_X_46_-2	NA
ME	1	X	46	-1	salmonella	chow	1_X_46	1_X_46_-1	NA
QU	1	X	46	1	salmonella	chow	1_X_46	1_X_46_1	NA
TC	1	X	46	2	salmonella	chow	1_X_46	1_X_46_2	NA
VK	1	X	46	3	salmonella	chow	1_X_46	1_X_46_3	NA
XS	1	X	46	4	salmonella	chow	1_X_46	1_X_46_4	NA
AAA	1	X	46	5	salmonella	chow	1_X_46	1_X_46_5	NA
CII	1	X	46	6	salmonella	chow	1_X_46	1_X_46_6	NA
EQQ	1	X	46	7	salmonella	chow	1_X_46	1_X_46_7	NA
GYY	1	X	46	8	salmonella	chow	1_X_46	1_X_46_8	NA
JHG	1	X	46	9	salmonella	chow	1_X_46	1_X_46_9	NA
NXW	1	X	46	11	salmonella	chow	1_X_46	1_X_46_11	NA
QFE	1	X	46	12	salmonella	chow	1_X_46	1_X_46_12	NA
UVU	1	X	46	14	salmonella	chow	1_X_46	1_X_46_14	NA
XDC	1	X	46	15	salmonella	chow	1_X_46	1_X_46_15	NA
OBA_2	2	X	1	-3	salmonella	chow	2_X_1	2_X_1_-3	NA
CDA_2	2	X	1	-2	salmonella	chow	2_X_1	2_X_1_-2	NA
QEA_2	2	X	1	-1	salmonella	chow	2_X_1	2_X_1_-1	NA
SHA_2	2	X	1	1	salmonella	chow	2_X_1	2_X_1_1	NA
GJA_2	2	X	1	2	salmonella	chow	2_X_1	2_X_1_2	NA
UKA_2	2	X	1	3	salmonella	chow	2_X_1	2_X_1_3	NA
IMA_2	2	X	1	4	salmonella	chow	2_X_1	2_X_1_4	NA
WNA_2	2	X	1	5	salmonella	chow	2_X_1	2_X_1_5	NA
KPA_2	2	X	1	6	salmonella	chow	2_X_1	2_X_1_6	NA
YQA_2	2	X	1	7	salmonella	chow	2_X_1	2_X_1_7	NA
MSA_2	2	X	1	8	salmonella	chow	2_X_1	2_X_1_8	NA
AUA_2	2	X	1	9	salmonella	chow	2_X_1	2_X_1_9	NA
OVA_2	2	X	1	10	salmonella	chow	2_X_1	2_X_1_10	NA
CXA_2	2	X	1	11	salmonella	chow	2_X_1	2_X_1_11	NA
QYA_2	2	X	1	12	salmonella	chow	2_X_1	2_X_1_12	NA
EAB_2	2	X	1	13	salmonella	chow	2_X_1	2_X_1_13	NA
SBB_2	2	X	1	14	salmonella	chow	2_X_1	2_X_1_14	NA
GDB_2	2	X	1	15	salmonella	chow	2_X_1	2_X_1_15	NA
PBA_2	2	X	2	-3	salmonella	chow	2_X_2	2_X_2_-3	NA
DDA_2	2	X	2	-2	salmonella	chow	2_X_2	2_X_2_-2	NA
REA_2	2	X	2	-1	salmonella	chow	2_X_2	2_X_2_-1	NA
THA_2	2	X	2	1	salmonella	chow	2_X_2	2_X_2_1	NA
HJA_2	2	X	2	2	salmonella	chow	2_X_2	2_X_2_2	NA
VKA_2	2	X	2	3	salmonella	chow	2_X_2	2_X_2_3	NA
JMA_2	2	X	2	4	salmonella	chow	2_X_2	2_X_2_4	NA
XNA_2	2	X	2	5	salmonella	chow	2_X_2	2_X_2_5	NA
LPA_2	2	X	2	6	salmonella	chow	2_X_2	2_X_2_6	NA
ZQA_2	2	X	2	7	salmonella	chow	2_X_2	2_X_2_7	NA
NSA_2	2	X	2	8	salmonella	chow	2_X_2	2_X_2_8	NA
BUA_2	2	X	2	9	salmonella	chow	2_X_2	2_X_2_9	NA
PVA_2	2	X	2	10	salmonella	chow	2_X_2	2_X_2_10	NA
DXA_2	2	X	2	11	salmonella	chow	2_X_2	2_X_2_11	NA
RYA_2	2	X	2	12	salmonella	chow	2_X_2	2_X_2_12	NA
FAB_2	2	X	2	13	salmonella	chow	2_X_2	2_X_2_13	NA
TBB_2	2	X	2	14	salmonella	chow	2_X_2	2_X_2_14	NA
HDB_2	2	X	2	15	salmonella	chow	2_X_2	2_X_2_15	NA
QBA_2	2	X	3	-3	salmonella	chow	2_X_3	2_X_3_-3	NA
EDA_2	2	X	3	-2	salmonella	chow	2_X_3	2_X_3_-2	NA
SEA_2	2	X	3	-1	salmonella	chow	2_X_3	2_X_3_-1	NA
UHA_2	2	X	3	1	salmonella	chow	2_X_3	2_X_3_1	NA
IJA_2	2	X	3	2	salmonella	chow	2_X_3	2_X_3_2	NA
WKA_2	2	X	3	3	salmonella	chow	2_X_3	2_X_3_3	NA
KMA_2	2	X	3	4	salmonella	chow	2_X_3	2_X_3_4	NA
YNA_2	2	X	3	5	salmonella	chow	2_X_3	2_X_3_5	NA
MPA_2	2	X	3	6	salmonella	chow	2_X_3	2_X_3_6	NA
ARA_2	2	X	3	7	salmonella	chow	2_X_3	2_X_3_7	NA
OSA_2	2	X	3	8	salmonella	chow	2_X_3	2_X_3_8	NA
CUA_2	2	X	3	9	salmonella	chow	2_X_3	2_X_3_9	NA
QVA_2	2	X	3	10	salmonella	chow	2_X_3	2_X_3_10	NA
EXA_2	2	X	3	11	salmonella	chow	2_X_3	2_X_3_11	NA
SYA_2	2	X	3	12	salmonella	chow	2_X_3	2_X_3_12	NA
GAB_2	2	X	3	13	salmonella	chow	2_X_3	2_X_3_13	NA
UBB_2	2	X	3	14	salmonella	chow	2_X_3	2_X_3_14	NA
IDB_2	2	X	3	15	salmonella	chow	2_X_3	2_X_3_15	NA
TBA_2	2	X	6	-3	salmonella	chow	2_X_6	2_X_6_-3	NA
HDA_2	2	X	6	-2	salmonella	chow	2_X_6	2_X_6_-2	NA
VEA_2	2	X	6	-1	salmonella	chow	2_X_6	2_X_6_-1	NA
XHA_2	2	X	6	1	salmonella	chow	2_X_6	2_X_6_1	NA
LJA_2	2	X	6	2	salmonella	chow	2_X_6	2_X_6_2	NA
ZKA_2	2	X	6	3	salmonella	chow	2_X_6	2_X_6_3	NA
NMA_2	2	X	6	4	salmonella	chow	2_X_6	2_X_6_4	NA
BOA_2	2	X	6	5	salmonella	chow	2_X_6	2_X_6_5	NA
PPA_2	2	X	6	6	salmonella	chow	2_X_6	2_X_6_6	NA
DRA_2	2	X	6	7	salmonella	chow	2_X_6	2_X_6_7	NA
RSA_2	2	X	6	8	salmonella	chow	2_X_6	2_X_6_8	NA
FUA_2	2	X	6	9	salmonella	chow	2_X_6	2_X_6_9	NA
TVA_2	2	X	6	10	salmonella	chow	2_X_6	2_X_6_10	NA
HXA_2	2	X	6	11	salmonella	chow	2_X_6	2_X_6_11	NA
VYA_2	2	X	6	12	salmonella	chow	2_X_6	2_X_6_12	NA
JAB_2	2	X	6	13	salmonella	chow	2_X_6	2_X_6_13	NA
XBB_2	2	X	6	14	salmonella	chow	2_X_6	2_X_6_14	NA
LDB_2	2	X	6	15	salmonella	chow	2_X_6	2_X_6_15	NA
XBA_2	2	X	10	-3	salmonella	chow	2_X_10	2_X_10_-3	NA
LDA_2	2	X	10	-2	salmonella	chow	2_X_10	2_X_10_-2	NA
